t_s,t_hours,Omega_deg_unwrapped,omega_deg_unwrapped,nu_deg_unwrapped,u_deg_unwrapped
0.0,0.0,0.0,180.0,180.0,360.0
4.32043204320432,0.0012001200120012002,-0.0002706916587855451,180.00028711186133,180.27385525751092,360.2741423693722
8.64086408640864,0.0024002400240024004,-0.0005413833175710902,180.00057422372262,180.54771051502183,360.5482847387444
12.961296129612961,0.0036003600360036,-0.0008120749763566353,180.00086133558392,180.82156577253275,360.8224271081167
17.28172817281728,0.004800480048004801,-0.0010827666351421804,180.00114844744522,181.09542103004364,361.09656947748886
21.602160216021602,0.006000600060006,-0.0013534582939277253,180.00143555930654,181.36927628755456,361.3707118468611
25.922592259225922,0.0072007200720072,-0.0016241499527132705,180.00172267116784,181.64313154506547,361.6448542162333
30.243024302430243,0.0084008400840084,-0.0018948416114988157,180.00200978302917,181.9169868025764,361.91899658560556
34.56345634563456,0.009600960096009602,-0.0021655332702843607,180.00229689489046,182.19084206008728,362.1931389549777
38.88388838883888,0.010801080108010801,-0.0024362249290699055,180.00258400675176,182.4646973175982,362.46728132435
43.204320432043204,0.012001200120012,-0.0027069165878554507,180.00287111861306,182.7385525751091,362.74142369372214
47.524752475247524,0.013201320132013201,-0.002977608246640996,180.00315823047438,183.01240783262003,363.0155660630944
51.845184518451845,0.0144014401440144,-0.003248299905426541,180.00344534233568,183.28626309013097,363.2897084324666
56.165616561656165,0.015601560156015602,-0.003518991564212086,180.003732454197,183.56011834764183,363.56385080183884
60.486048604860486,0.0168016801680168,-0.0037896832229976315,180.0040195660583,183.83397360515278,363.8379931712111
64.8064806480648,0.018001800180018002,-0.004060374881783176,180.0043066779196,184.10782886266367,364.11213554058327
69.12691269126913,0.019201920192019203,-0.0043310665405687215,180.0045937897809,184.3816841201746,364.38627790995554
73.44734473447345,0.0204020402040204,-0.004601758199354266,180.00488090164222,184.65553937768547,364.6604202793277
77.76777677767777,0.021602160216021602,-0.004872449858139811,180.00516801350352,184.92939463519645,364.93456264869997
82.08820882088209,0.022802280228022803,-0.005143141516925356,180.00545512536485,185.2032498927073,365.2087050180721
86.40864086408641,0.024002400240024,-0.005413833175710901,180.00574223722614,185.47710515021825,365.4828473874444
90.72907290729073,0.025202520252025202,-0.005684524834496447,180.00602934908744,185.7509604077291,365.75698975681655
95.04950495049505,0.026402640264026403,-0.005955216493281992,180.00631646094874,186.02481566524008,366.0311321261888
99.36993699369937,0.027602760276027604,-0.006225908152067536,180.00660357281006,186.298670922751,366.30527449556104
103.69036903690369,0.0288028802880288,-0.006496599810853082,180.00689068467136,186.5725261802619,366.57941686493325
108.01080108010801,0.030003000300030003,-0.0067672914696386265,180.0071777965327,186.8463814377728,366.85355923430546
112.33123312331233,0.031203120312031204,-0.007037983128424172,180.00746490839396,187.12023669528372,367.1277016036777
116.65166516651665,0.032403240324032405,-0.007308674787209717,180.00775202025528,187.39409195279464,367.40184397304995
120.97209720972097,0.0336033603360336,-0.007579366445995263,180.00803913211658,187.66794721030553,367.6759863424221
125.29252925292529,0.0348034803480348,-0.007850058104780806,180.0083262439779,187.94180246781644,367.9501287117944
129.6129612961296,0.036003600360036005,-0.008120749763566353,180.0086133558392,188.21565772532736,368.22427108116653
133.93339333933392,0.0372037203720372,-0.008391441422351896,180.00890046770053,188.48951298283828,368.4984134505388
138.25382538253825,0.03840384038403841,-0.008662133081137443,180.0091875795618,188.76336824034917,368.77255581991096
142.5742574257426,0.039603960396039604,-0.008932824739922988,180.00947469142312,189.03722349786008,369.04669818928323
146.8946894689469,0.0408040804080408,-0.009203516398708532,180.00976180328442,189.31107875537106,369.32084055865545
151.2151215121512,0.042004200420042,-0.009474208057494077,180.01004891514575,189.58493401288192,369.59498292802766
155.53555355535553,0.043204320432043204,-0.009744899716279622,180.01033602700704,189.85878927039286,369.8691252973999
159.85598559855987,0.04440444044404441,-0.010015591375065167,180.01062313886837,190.13264452790372,370.1432676667721
164.17641764176417,0.045604560456045606,-0.010286283033850712,180.01091025072964,190.4064997854147,370.4174100361443
168.49684968496848,0.0468046804680468,-0.010556974692636258,180.01119736259096,190.68035504292556,370.6915524055165
172.81728172817282,0.048004800480048,-0.010827666351421803,180.01148447445226,190.9542103004365,370.9656947748888
177.13771377137715,0.049204920492049206,-0.01109835801020735,180.01177158631359,191.2280655579474,371.23983714426095
181.45814581458146,0.050405040504050404,-0.011369049668992893,180.01205869817488,191.50192081545833,371.5139795136332
185.77857785778576,0.0516051605160516,-0.011639741327778437,180.01234581003618,191.7757760729692,371.7881218830054
190.0990099009901,0.052805280528052806,-0.011910432986563984,180.01263292189748,192.04963133048014,372.06226425237764
194.41944194419443,0.05400540054005401,-0.012181124645349529,180.0129200337588,192.32348658799106,372.33640662174986
198.73987398739874,0.05520552055205521,-0.012451816304135072,180.01320714562013,192.59734184550194,372.6105489911221
203.06030603060304,0.0564056405640564,-0.012722507962920617,180.01349425748143,192.8711971030129,372.8846913604943
207.38073807380738,0.0576057605760576,-0.012993199621706164,180.01378136934275,193.14505236052375,373.1588337298665
211.7011701170117,0.05880588058805881,-0.01326389128049171,180.01406848120402,193.4189076180347,373.4329760992387
216.02160216021602,0.060006000600060005,-0.013534582939277253,180.01435559306535,193.69276287554558,373.70711846861093
220.34203420342033,0.0612061206120612,-0.013805274598062798,180.01464270492664,193.96661813305653,373.9812608379832
224.66246624662466,0.06240624062406241,-0.014075966256848343,180.01492981678797,194.2404733905674,374.25540320735536
228.982898289829,0.0636063606360636,-0.01434665791563389,180.01521692864927,194.51432864807833,374.5295455767276
