t_s,t_hours,i_deg,Omega_deg_unwrapped,omega_deg_unwrapped,nu_deg_unwrapped,u_deg_unwrapped,i_deg_J2J22,Omega_deg_unwrapped_J2J22,omega_deg_unwrapped_J2J22,nu_deg_unwrapped_J2J22,u_deg_unwrapped_J2J22
27966.156615661566,7.7683768376837685,45.00000000000001,-1.7521871073188333,181.8584750782392,1952.6650818681342,2134.5235569463734,45.006248347501575,-1.7633250823678708,181.86784759949154,1952.6445713718329,2134.512418971324
27970.47704770477,7.76957695769577,45.00000000000001,-1.7524577989776189,181.8587621901005,1952.938937125645,2134.7976993157454,45.00599569008389,-1.7635247891835828,181.86775572522632,1952.9188766003135,2134.78663232554
27974.797479747973,7.77077707770777,45.00000000000001,-1.7527284906364042,181.8590493019618,1953.2127923831558,2135.0718416851173,45.005745610310555,-1.7637222495828888,181.86766771742765,1953.1931802087431,2135.060847926171
27979.117911791178,7.771977197719772,45.00000000000001,-1.7529991822951898,181.8593364138231,1953.4866476406667,2135.34598405449,45.005498188066035,-1.7639174869584862,181.86758369592212,1953.4674820539046,2135.3350657498268
27983.438343834383,7.773177317731773,45.00000000000001,-1.7532698739539754,181.8596235256844,1953.7605028981777,2135.620126423862,45.00525350238588,-1.7641105254131855,181.86750377926325,1953.7417819931395,2135.609285772403
27987.758775877588,7.774377437743775,45.00000000000001,-1.753540565612761,181.8599106375457,1954.0343581556886,2135.894268793234,45.0050116314315,-1.7643013897522122,181.86742808469296,1954.0160798844015,2135.8835079690944
27992.079207920793,7.775577557755776,45.00000000000001,-1.7538112572715465,181.86019774940704,1954.3082134131998,2136.168411162607,45.00477265246517,-1.764490105475282,181.86735672810477,1954.2903755862983,2136.157732314403
27996.399639963995,7.776777677767776,45.00000000000001,-1.754081948930332,181.86048486126833,1954.5820686707098,2136.4425535319783,45.004536641825375,-1.7646766987684561,181.86728982400635,1954.564668958134,2136.43195878214
28000.7200720072,7.777977797779777,45.00000000000001,-1.7543526405891177,181.86077197312963,1954.855923928221,2136.7166959013507,45.00430367490238,-1.7648611964957763,181.8672274854832,1954.838959859961,2136.7061873454445
28005.040504050405,7.779177917791779,45.00000000000001,-1.7546233322479032,181.86105908499093,1955.1297791857323,2136.9908382707235,45.00407382611421,-1.7650436261906832,181.86716982416223,1955.1132481526186,2136.9804179767807
28009.36093609361,7.78037803780378,45.00000000000001,-1.7548940239066886,181.86134619685225,1955.4036344432434,2137.2649806400955,45.003847168882835,-1.765224016047221,181.8671169501765,1955.3875336977783,2137.254650647955
28013.681368136815,7.781578157815782,45.00000000000001,-1.7551647155654742,181.86163330871355,1955.6774897007542,2137.5391230094674,45.00362377561071,-1.7654023949110322,181.8670689721296,1955.6618163579926,2137.528885330122
28018.001800180016,7.7827782778277825,45.00000000000001,-1.7554354072242597,181.86192042057488,1955.9513449582646,2137.81326537884,45.0034037176577,-1.7655787922701422,181.8670259970614,1955.9360959967323,2137.8031219937934
28022.32223222322,7.783978397839784,45.00000000000001,-1.7557060988830453,181.86220753243617,1956.2252002157754,2138.0874077482117,45.0031870653182,-1.765753238245541,181.86698813041343,1956.210372478436,2138.0773606088496
28026.642664266426,7.785178517851785,45.00000000000001,-1.7559767905418309,181.86249464429747,1956.4990554732867,2138.361550117584,45.00297388779877,-1.7659257635815597,181.8669554759956,1956.4846456685489,2138.3516011445445
28030.96309630963,7.786378637863787,45.00000000000001,-1.7562474822006164,181.86278175615877,1956.772910730798,2138.635692486957,45.00276425319597,-1.7660963996360508,181.86692813595272,1956.758915433569,2138.6258435695213
28035.283528352837,7.787578757875788,45.00000000000001,-1.756518173859402,181.8630688680201,1957.0467659883086,2138.909834856329,45.00255822847463,-1.7662651783703727,181.86690621073205,1957.033181641086,2138.900087851818
28039.603960396038,7.788778877887788,45.00000000000001,-1.7567888655181874,181.8633559798814,1957.3206212458194,2139.183977225701,45.00235587944646,-1.7664321323391763,181.86688979905108,1957.3074441598287,2139.1743339588797
28043.924392439243,7.78997899789979,45.00000000000001,-1.7570595571769732,181.86364309174272,1957.5944765033303,2139.458119595073,45.00215727074901,-1.7665972946800104,181.86687899786622,1957.5817028597035,2139.44858185757
28048.244824482448,7.791179117911791,45.00000000000001,-1.7573302488357587,181.863930203604,1957.868331760841,2139.732261964445,45.00196246582504,-1.7667606991027327,181.86687390234155,1957.8559576118366,2139.7228315141783
28052.565256525653,7.792379237923792,45.00000000000001,-1.7576009404945443,181.8642173154653,1958.1421870183524,2140.0064043338175,45.00177152690224,-1.766922379878744,181.86687460581865,1958.130208288615,2139.9970828944333
28056.88568856886,7.793579357935794,45.00000000000001,-1.7578716321533299,181.8645044273266,1958.4160422758632,2140.28054670319,45.00158451497337,-1.7670823718300392,181.86688119978666,1958.4044547637266,2140.2713359635136
28061.20612061206,7.794779477947794,45.00000000000001,-1.758142323812115,181.86479153918793,1958.6898975333738,2140.554689072562,45.00140148977677,-1.767240710318085,181.86689377385306,1958.6786969122031,2140.545590686056
28065.526552655265,7.7959795979597954,45.00000000000001,-1.7584130154709008,181.86507865104923,1958.963752790885,2140.828831441934,45.00122250977726,-1.7673974312325231,181.8669124157151,1958.9529346104575,2140.8198470261727
28069.84698469847,7.797179717971797,45.00000000000001,-1.7586837071296864,181.86536576291056,1959.237608048396,2141.102973811306,45.00104763214749,-1.767552570979708,181.86693721113176,1959.2271677363246,2141.0941049474563
28074.167416741675,7.7983798379837985,45.00000000000001,-1.758954398788472,181.86565287477183,1959.5114633059068,2141.3771161806785,45.00087691274965,-1.7677061664710738,181.8669682438963,1959.5013961690995,2141.368364412996
28078.48784878488,7.7995799579958,45.00000000000001,-1.7592250904472575,181.86593998663315,1959.7853185634176,2141.651258550051,45.00071040611769,-1.7678582551113464,181.86700559580967,1959.775619789577,2141.642625385387
28082.80828082808,7.800780078007801,45.00000000000001,-1.7594957821060428,181.86622709849445,1960.0591738209284,2141.925400919423,45.000548165439774,-1.7680088747865936,181.86704934665408,1960.0498384800883,2141.9168878267424
28087.128712871287,7.801980198019802,45.00000000000001,-1.7597664737648284,181.86651421035577,1960.3330290784395,2142.199543288795,45.00039024254143,-1.7681580638521246,181.8670995741679,1960.32405212454,2142.191151698708
28091.44914491449,7.803180318031803,45.00000000000001,-1.7600371654236142,181.8668013222171,1960.6068843359506,2142.4736856581676,45.0002366878689,-1.768305861120236,181.86715635402044,1960.5982606084506,2142.465416962471
28095.769576957697,7.804380438043805,45.00000000000001,-1.7603078570823998,181.8670884340784,1960.8807395934616,2142.74782802754,45.00008755047306,-1.768452305847814,181.867219759788,1960.8724638189867,2142.7396835787745
