t_s,t_hours,Omega_deg,omega_deg,nu_deg_analitica,nu_deg_direta,u_deg
0.0,0.0,0.0,180.0,180.0,0.0,360.0
4.32043204320432,0.0012001200120012002,-0.00027069165621102686,180.00028711185857,180.27385525751276,0.27404666541844996,360.2741423693713
8.64086408640864,0.0024002400240024004,-0.0005413833124220537,180.00057422371714,180.54771051502547,0.5480933308368999,360.5482847387426
12.961296129612961,0.0036003600360036,-0.0008120749686330806,180.00086133557573,180.82156577253818,0.8221399962553497,360.8224271081139
17.28172817281728,0.004800480048004801,-0.0010827666248441074,180.0011484474343,181.09542103005094,1.0961866616738,361.0965694774853
21.602160216021602,0.006000600060006,-0.0013534582810551343,180.00143555929287,181.36927628756365,1.3702333270922498,361.3707118468565
25.922592259225922,0.0072007200720072,-0.0016241499372661612,180.00172267115144,181.64313154507641,1.6442799925106995,361.6448542162278
30.243024302430243,0.0084008400840084,-0.001894841593477188,180.00200978301,181.91698680258915,1.9183266579291498,361.9189965855992
34.56345634563456,0.009600960096009602,-0.002165533249688215,180.0022968948686,182.19084206010183,2.1923733233475997,362.19313895497044
38.88388838883888,0.010801080108010801,-0.0024362249058992418,180.0025840067272,182.4646973176146,2.4664199887660496,362.4672813243418
43.204320432043204,0.012001200120012,-0.0027069165621102687,180.00287111858577,182.73855257512736,2.7404666541844995,362.7414236937131
47.524752475247524,0.013201320132013201,-0.0029776082183212956,180.00315823044434,183.01240783264004,3.014513319602949,363.0155660630844
51.845184518451845,0.0144014401440144,-0.0032482998745323225,180.0034453423029,183.2862630901528,3.2885599850213993,363.2897084324557
56.165616561656165,0.015601560156015602,-0.003518991530743349,180.00373245416148,183.56011834766556,3.56260665043985,363.563850801827
60.486048604860486,0.0168016801680168,-0.003789683186954376,180.00401956602008,183.83397360517824,3.8366533158582996,363.8379931711983
64.8064806480648,0.018001800180018002,-0.004060374843165402,180.00430667787865,184.10782886269098,4.11069998127675,364.1121355405696
69.12691269126913,0.019201920192019203,-0.00433106649937643,180.0045937897372,184.38168412020374,4.384746646695199,364.386277909941
73.44734473447345,0.0204020402040204,-0.004601758155587456,180.00488090159578,184.65553937771645,4.658793312113649,364.66042027931223
77.76777677767777,0.021602160216021602,-0.0048724498117984835,180.00516801345435,184.92939463522922,4.932839977532099,364.93456264868354
82.08820882088209,0.022802280228022803,-0.00514314146800951,180.00545512531295,185.20324989274192,5.206886642950548,365.2087050180549
86.40864086408641,0.024002400240024,-0.005413833124220537,180.00574223717152,185.47710515025463,5.480933308368998,365.48284738742615
90.72907290729073,0.025202520252025202,-0.005684524780431564,180.0060293490301,185.7509604077674,5.75497997378745,365.7569897567975
95.04950495049505,0.026402640264026403,-0.005955216436642591,180.00631646088866,186.0248156652801,6.029026639205897,366.03113212616876
99.36993699369937,0.027602760276027604,-0.006225908092853618,180.00660357274725,186.29867092279284,6.303073304624348,366.3052744955401
103.69036903690369,0.0288028802880288,-0.006496599749064645,180.00689068460585,186.57252618030557,6.577119970042798,366.5794168649114
108.01080108010801,0.030003000300030003,-0.0067672914052756715,180.00717779646442,186.84638143781828,6.851166635461249,366.85355923428267
112.33123312331233,0.031203120312031204,-0.007037983061486698,180.007464908323,187.12023669533104,7.1252133008796985,367.12770160365403
116.65166516651665,0.032403240324032405,-0.007308674717697725,180.00775202018156,187.39409195284378,7.399259966298151,367.40184397302534
120.97209720972097,0.0336033603360336,-0.007579366373908752,180.00803913204012,187.6679472103565,7.673306631716599,367.67598634239664
125.29252925292529,0.0348034803480348,-0.00785005803011978,180.00832624389872,187.94180246786922,7.947353297135048,367.95012871176795
129.6129612961296,0.036003600360036005,-0.008120749686330805,180.0086133557573,188.215657725382,8.2213999625535,368.22427108113925
133.93339333933392,0.0372037203720372,-0.008391441342541831,180.00890046761586,188.4895129828947,8.495446627971948,368.49841345051055
138.25382538253825,0.03840384038403841,-0.00866213299875286,180.00918757947443,188.76336824040743,8.769493293390399,368.77255581988186
142.5742574257426,0.039603960396039604,-0.008932824654963888,180.009474691333,189.0372234979202,9.04353995880885,369.0466981892532
146.8946894689469,0.0408040804080408,-0.009203516311174912,180.0097618031916,189.31107875543287,9.317586624227298,369.32084055862447
151.2151215121512,0.042004200420042,-0.009474207967385939,180.01004891505016,189.58493401294564,9.591633289645747,369.5949829279958
155.53555355535553,0.043204320432043204,-0.009744899623596967,180.01033602690873,189.85878927045837,9.865679955064197,369.86912529736713
159.85598559855987,0.04440444044404441,-0.010015591279807995,180.0106231387673,190.13264452797108,10.13972662048265,370.1432676667384
164.17641764176417,0.045604560456045606,-0.01028628293601902,180.0109102506259,190.40649978548385,10.413773285901101,370.41741003610974
168.49684968496848,0.0468046804680468,-0.010556974592230046,180.01119736248447,190.6803550429966,10.687819951319549,370.69155240548105
172.81728172817282,0.048004800480048,-0.010827666248441075,180.01148447434306,190.9542103005093,10.961866616738,370.96569477485235
177.13771377137715,0.049204920492049206,-0.011098357904652103,180.01177158620163,191.22806555802202,11.235913282156448,371.23983714422366
181.45814581458146,0.050405040504050404,-0.011369049560863128,180.0120586980602,191.5019208155348,11.509959947574897,371.51397951359496
185.77857785778576,0.0516051605160516,-0.011639741217074154,180.01234580991877,191.7757760730475,11.784006612993348,371.78812188296627
190.0990099009901,0.052805280528052806,-0.011910432873285182,180.01263292177734,192.04963133056023,12.0580532784118,372.06226425233757
194.41944194419443,0.05400540054005401,-0.01218112452949621,180.01292003363594,192.32348658807297,12.33209994383025,372.33640662170893
